 Destination Port, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Mean, Fwd Header Length, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Bytes, Subflow Bwd Bytes,Init_Win_bytes_forward
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,12663,1454,351.75,8352,1454,185.6,655.5,23598,259.44444444444446,297.4166666666667,130.26666666666668,12663,8352,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,2128,1454,532.0,66,66,66.0,1016.0,4064,438.8,475.0,0.0,2128,66,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,2703,1454,245.72727272727272,6418,1454,641.8,443.45454545454544,4878,434.3333333333333,190.63636363636363,586.6,2703,6418,64240
443,66,66,66.0,0,0,0,84.0,84,66.0,0.0,0,66,0,64240
443,66,66,66.0,0,0,0,84.0,84,66.0,0.0,0,66,0,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,2703,1454,245.72727272727272,6418,1454,641.8,443.45454545454544,4878,434.3333333333333,190.63636363636363,586.6,2703,6418,64240
443,2446,1454,305.75,5083,1454,635.375,563.5,4508,470.5625,247.25,578.375,2446,5083,64240
443,2434,1454,304.25,5082,1454,635.25,560.5,4484,469.75,247.25,578.25,2434,5082,64240
443,2383,1454,297.875,5823,1454,831.8571428571429,547.75,4382,547.0666666666667,237.875,776.1428571428571,2383,5823,64240
443,2238,1454,373.0,5972,1454,853.1428571428571,698.0,4188,631.5384615384615,317.0,797.4285714285714,2238,5972,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,2703,1454,245.72727272727272,6418,1454,641.8,443.45454545454544,4878,434.3333333333333,190.63636363636363,586.6,2703,6418,64240
443,4154,1454,319.53846153846155,6608,1454,472.0,591.0769230769231,7684,398.5925925925926,262.7692307692308,416.2857142857143,4154,6608,64240
443,4150,1454,319.2307692307692,6553,1454,504.0769230769231,590.4615384615385,7676,411.65384615384613,263.38461538461536,448.2307692307692,4150,6553,64240
443,2970,1454,198.0,7919,1454,719.9090909090909,348.0,5220,418.8076923076923,140.0,664.8181818181819,2970,7919,64240
443,2825,1454,217.30769230769232,8217,1454,747.0,386.61538461538464,5026,460.0833333333333,161.46153846153845,691.9090909090909,2825,8217,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
443,4121,1454,374.6363636363636,4445,1454,370.4166666666667,701.2727272727273,7714,372.4347826086956,319.54545454545456,314.4166666666667,4121,4445,64240
443,2463,1284,351.85714285714283,1597,852,199.625,655.7142857142857,4590,270.6666666666667,296.14285714285717,144.125,2463,1597,64240
443,2703,1454,245.72727272727272,6418,1454,641.8,443.45454545454544,4878,434.3333333333333,190.63636363636363,586.6,2703,6418,64240
443,4232,1454,302.2857142857143,6608,1454,472.0,556.5714285714286,7792,387.14285714285717,245.71428571428572,416.2857142857143,4232,6608,64240
443,4150,1454,319.2307692307692,6607,1454,471.92857142857144,590.4615384615385,7676,398.4074074074074,263.38461538461536,416.2142857142857,4150,6607,64240
443,2970,1454,198.0,7919,1454,719.9090909090909,348.0,5220,418.8076923076923,140.0,664.8181818181819,2970,7919,64240
443,2825,1454,217.30769230769232,8217,1454,747.0,386.61538461538464,5026,460.0833333333333,161.46153846153845,691.9090909090909,2825,8217,64240
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,1019
443,4075,1454,239.7058823529412,7434,1454,464.625,431.4117647058824,7334,348.75757575757575,185.0,407.625,4075,7434,64240
443,3007,1454,250.58333333333334,4466,1454,406.0,453.1666666666667,5438,324.9130434782609,195.58333333333334,349.8181818181818,3007,4466,64240
30895,91,91,91.0,54,54,54.0,134.0,134,72.5,37.0,0.0,91,54,260
443,193,85,64.33333333333333,139,85,69.5,80.66666666666667,242,66.4,10.333333333333334,15.5,193,139,513
443,2676,1454,267.6,4569,1454,456.9,487.2,4872,362.25,211.2,401.7,2676,4569,64240
443,2794,1454,232.83333333333334,4569,1454,456.9,417.6666666666667,5012,334.6818181818182,176.83333333333334,401.7,2794,4569,64240
80,992,382,165.33333333333334,660,270,165.0,282.6666666666667,1696,165.2,109.33333333333333,108.0,992,660,64240
443,959,270,106.55555555555556,8559,1454,855.9,165.11111111111111,1486,500.94736842105266,49.888888888888886,799.5,959,8559,64240
443,946,272,105.11111111111111,4043,1454,404.3,162.22222222222223,1460,262.57894736842104,49.77777777777778,347.9,946,4043,64240
443,14125,1454,336.3095238095238,9302,1454,169.12727272727273,624.6190476190476,26234,241.51546391752578,282.0238095238095,114.03636363636363,14125,9302,64240
443,1483,404,123.58333333333333,4937,1454,379.7692307692308,199.16666666666666,2390,256.8,68.58333333333333,324.84615384615387,1483,4937,64240
443,4099,1454,372.6363636363636,4297,1454,390.6363636363636,697.2727272727273,7670,381.6363636363636,317.54545454545456,334.45454545454544,4099,4297,64240
